,name,ingredients,diet,prep_time,cook_time,flavor_profile,course,state,region
0,Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,45.0,25.0,sweet,dessert,West Bengal,East
1,Boondi,"Gram flour, ghee, sugar",vegetarian,80.0,30.0,sweet,dessert,Rajasthan,West
2,Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,15.0,60.0,sweet,dessert,Punjab,North
3,Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,15.0,30.0,sweet,dessert,Rajasthan,West
4,Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,15.0,40.0,sweet,dessert,West Bengal,East
5,Imarti,"Sugar syrup, lentil flour",vegetarian,10.0,50.0,sweet,dessert,West Bengal,East
6,Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,10.0,50.0,sweet,dessert,Uttar Pradesh,North
8,Kalakand,"Milk, cottage cheese, sugar",vegetarian,20.0,30.0,sweet,dessert,West Bengal,East
11,Lassi,"Yogurt, milk, nuts, sugar",vegetarian,5.0,5.0,sweet,dessert,Punjab,North
13,Petha,"Firm white pumpkin, sugar, kitchen lime, alum powder",vegetarian,10.0,30.0,sweet,dessert,Uttar Pradesh,North
14,Phirni,"Rice, sugar, nuts",vegetarian,30.0,20.0,sweet,dessert,Odisha,East
15,Rabri,"Condensed milk, sugar, spices, nuts",vegetarian,10.0,45.0,sweet,dessert,Uttar Pradesh,North
16,Sheera,"Semolina, ghee, nuts, milk",vegetarian,10.0,25.0,sweet,dessert,Maharashtra,West
17,Singori,"Khoa, coconut, molu leaf",vegetarian,10.0,20.0,sweet,dessert,Uttarakhand,North
18,Sohan halwa,"Corn flour, ghee, dry fruits",vegetarian,10.0,60.0,sweet,dessert,Uttar Pradesh,North
20,Chhena jalebi,"Chhena, sugar, ghee",vegetarian,10.0,50.0,sweet,dessert,Odisha,East
22,Chhena poda,"Sugar, chenna cheese",vegetarian,10.0,45.0,sweet,dessert,Odisha,East
23,Cham cham,"Flour, cream, sugar, saffron, lemon juice, coconut flakes",vegetarian,40.0,60.0,sweet,dessert,West Bengal,East
24,Kheer sagar,"Chenna, condensed milk, sugar, saffron, cardamom",vegetarian,25.0,60.0,sweet,dessert,Odisha,East
25,Ledikeni,"Chhena, sugar, ghee",vegetarian,45.0,45.0,sweet,dessert,West Bengal,East
26,Lyangcha,"Flour, fried milk power, sugar syrup",vegetarian,20.0,30.0,sweet,dessert,Assam,North East
27,Malapua,"Yoghurt, refined flour, ghee, fennel seeds",vegetarian,10.0,120.0,sweet,dessert,Bihar,North
28,Mihidana,"Besan flour, sugar, ghee",vegetarian,15.0,30.0,sweet,dessert,West Bengal,East
29,Misti doi,"Milk, jaggery",vegetarian,480.0,30.0,sweet,dessert,West Bengal,East
30,Pantua,"Chhena, sugar, ghee, flour",vegetarian,45.0,45.0,sweet,dessert,West Bengal,East
31,Pithe,"Rice flour, wheat flour",vegetarian,15.0,35.0,sweet,dessert,Assam,North East
32,Rasabali,"Chenna, sweetened milk",vegetarian,15.0,30.0,sweet,dessert,Odisha,East
33,Ras malai,"Chhena, reduced milk, pistachio",vegetarian,180.0,60.0,sweet,dessert,West Bengal,East
34,Rasgulla,"Chhena, sugar, cardamom",vegetarian,10.0,90.0,sweet,dessert,West Bengal,East
35,Sandesh,"Milk, sugar, saffron, cardamom",vegetarian,30.0,20.0,sweet,dessert,West Bengal,East
36,Adhirasam,"Rice flour, jaggery, ghee, vegetable oil, elachi",vegetarian,10.0,50.0,sweet,dessert,West Bengal,East
37,Ariselu,"Rice flour, jaggery, ghee",vegetarian,15.0,75.0,sweet,dessert,Andhra Pradesh,South
38,Bandar laddu,"Besan, jaggery, cardamom powder, ghee, cashews and raisins, jaggery syrup, sugar",vegetarian,5.0,35.0,sweet,dessert,Andhra Pradesh,South
39,Chikki,"Peanuts, jaggery",vegetarian,10.0,20.0,sweet,dessert,Maharashtra,West
40,Dharwad pedha,"Milk, Sugar, Dharwadi buffalo milk",vegetarian,20.0,60.0,sweet,dessert,Karnataka,South
41,Double ka meetha,"Loaf bread, milk",vegetarian,20.0,30.0,sweet,dessert,Telangana,South
42,Gavvalu,"Rice flour, sugar, salt, ghee, semolina",vegetarian,10.0,30.0,sweet,dessert,Andhra Pradesh,South
43,Kakinada khaja,"Wheat flour, sugar",vegetarian,10.0,30.0,sweet,dessert,Andhra Pradesh,South
44,Kuzhi paniyaram,"Black lentils, rice",vegetarian,10.0,20.0,sweet,dessert,Kerala,South
45,Mysore pak,"Besan flour, semolina, mung bean, jaggery, coconut, skimmed milk powder, sugar, ghee",vegetarian,5.0,20.0,sweet,dessert,Karnataka,South
46,Obbattu holige,"Maida flour, turmeric, coconut, chickpeas, jaggery, ghee, cardamom",vegetarian,180.0,60.0,sweet,main course,Karnataka,South
47,Palathalikalu,"Rice flour, milk",vegetarian,10.0,25.0,sweet,dessert,Andhra Pradesh,South
48,Poornalu,"Chana dal, jaggery",vegetarian,240.0,60.0,sweet,dessert,Andhra Pradesh,South
49,Pongal,"Rice, jaggery, cashews, ghee",vegetarian,5.0,20.0,sweet,dessert,Tamil Nadu,South
50,Pootharekulu,"Rice flour, powdered sugar, ghee",vegetarian,10.0,60.0,sweet,dessert,Andhra Pradesh,South
51,Qubani ka meetha,"Apricots, sugar syrup",vegetarian,10.0,20.0,sweet,dessert,Telangana,South
52,Sheer korma,"Vermicelli pudding, milk",vegetarian,10.0,20.0,sweet,dessert,Telangana,South
53,Unni Appam,"Rice flour, banana, jaggery, coconut",vegetarian,10.0,20.0,sweet,dessert,Tamil Nadu,South
54,Kajjikaya,"Rice flour, jaggery, coconut",vegetarian,40.0,15.0,sweet,dessert,Andhra Pradesh,South
55,Anarsa,"Rice flour, jaggery, khus-khus seeds",vegetarian,10.0,50.0,sweet,dessert,Maharashtra,West
56,Basundi,"Sugar, milk, nuts",vegetarian,10.0,35.0,sweet,dessert,Gujarat,West
57,Dhondas,"Cucumber, rava",vegetarian,10.0,50.0,sweet,dessert,Maharashtra,West
58,Doodhpak,"Milk, rice, sugar, dry fruits",vegetarian,10.0,60.0,sweet,dessert,Gujarat,West
59,Mahim halwa,"Semolina, sugar",vegetarian,10.0,25.0,sweet,dessert,Maharashtra,West
